Comment,Designator,Footprint,LCSC Part #
0.1uF,C7 C9 C12 C13 C14 C15 C16 C20,C0402,
1N5819,D1,SOD323-R,C191023
1uF,C1,C0402,C52923
2.2k,R3 R6,R0402,C25879
2N7002,T1,SOT23-3,C8545
10k,R2 R5 R7 R8,R0402,
10uF 10V,C10,C0603,C19702
10uF 10V,C11,C0603,C19702
10uF 25V,C21 C22 C23,C1206,C13585
47uF 10V,C2 C3 C4,C1206,C96123
0022053031,J4,1X03,C706940
ECS-327KE-TR,Y1,OSC_ECS-327KE-TR,C5280579
MDT350M01001VTEXT,J1 J2,MDT350M01001VT_EXT,C722526
PCI-E-X4,J3,PCI-E-X4,C2926855
SI53152-A01AGM,IC1,QFN24_4X4_SIL,C2651396
TPS51386RJNR,IC2,VREG_TPS51386RJNR,C22388893
XAL7070-182MEC,L1,DFN750X725X700-2N,C3911679
