Designator,Mid X,Mid Y,Layer,Rotation
C1,81.45,13.90,Top,270.0
C2,65.00,18.50,Top,270.0
C3,67.50,18.50,Top,270.0
C4,70.00,18.50,Top,270.0
C5,83.00,20.00,Top,270.0
C7,112.60,18.60,Top,135.0
C9,113.90,17.30,Top,315.0
C10, 6.00,14.50,Top,180.0
C11,26.50,20.45,Top,180.0
C12,107.70,17.70,Top,45.0
C13,122.80,16.00,Top,0.0
C14,109.40,13.40,Top,315.0
C15,110.50,19.80,Top,180.0
C16,112.15,13.70,Top,225.0
C20,80.30,15.00,Top,270.0
C21,85.00,18.00,Top,90.0
C22,87.50,18.00,Top,90.0
C23,90.00,18.00,Top,90.0
D1,117.20,18.00,Top,270.0
IC1,110.50,16.30,Top,225.0
IC2,82.00,17.20,Top,90.0
J1,12.50,17.80,Top,0.0
J2,37.50,17.80,Top,0.0
J3,107.00, 7.50,Top,180.0
J4,127.30,17.40,Top,270.0
L1,76.00,17.00,Top,180.0
R2,115.75,19.00,Top,270.0
R3,124.90,15.60,Top,270.0
R5,82.00,20.00,Top,90.0
R6,81.00,20.00,Top,90.0
R7,114.65,19.00,Top,270.0
R8,115.75,17.00,Top,90.0
T1,119.75,18.00,Top,270.0
Y1,123.10,18.70,Top,90.0
